month,monthly_total,prev_month_sales,mom_growth,mom_growth_pct
2011-01-01,98902,,,
2011-02-01,91152,98902.0,-7750.0,-7.84
2011-03-01,145726,91152.0,54574.0,59.87
2011-04-01,116927,145726.0,-28799.0,-19.76
2011-05-01,146762,116927.0,29835.0,25.52
2011-06-01,215214,146762.0,68452.0,46.64
2011-07-01,115518,215214.0,-99696.0,-46.32
2011-08-01,207570,115518.0,92052.0,79.69
2011-09-01,290230,207570.0,82660.0,39.82
2011-10-01,199070,290230.0,-91160.0,-31.41
2011-11-01,298499,199070.0,99429.0,49.95
2011-12-01,333941,298499.0,35442.0,11.87
2012-01-01,135775,333941.0,-198166.0,-59.34
2012-02-01,100521,135775.0,-35254.0,-25.97
2012-03-01,163092,100521.0,62571.0,62.25
2012-04-01,161060,163092.0,-2032.0,-1.25
2012-05-01,208370,161060.0,47310.0,29.37
2012-06-01,256181,208370.0,47811.0,22.95
2012-07-01,145247,256181.0,-110934.0,-43.3
2012-08-01,303158,145247.0,157911.0,108.72
2012-09-01,289390,303158.0,-13768.0,-4.54
2012-10-01,252942,289390.0,-36448.0,-12.59
2012-11-01,323512,252942.0,70570.0,27.9
2012-12-01,338245,323512.0,14733.0,4.55
2013-01-01,199197,338245.0,-139048.0,-41.11
2013-02-01,167247,199197.0,-31950.0,-16.04
2013-03-01,198591,167247.0,31344.0,18.74
2013-04-01,177835,198591.0,-20756.0,-10.45
2013-05-01,260525,177835.0,82690.0,46.5
2013-06-01,396513,260525.0,135988.0,52.2
2013-07-01,229940,396513.0,-166573.0,-42.01
2013-08-01,326491,229940.0,96551.0,41.99
2013-09-01,376626,326491.0,50135.0,15.36
2013-10-01,293423,376626.0,-83203.0,-22.09
2013-11-01,373996,293423.0,80573.0,27.46
2013-12-01,405476,373996.0,31480.0,8.42
2014-01-01,241267,405476.0,-164209.0,-40.5
2014-02-01,184848,241267.0,-56419.0,-23.38
2014-03-01,263110,184848.0,78262.0,42.34
2014-04-01,242781,263110.0,-20329.0,-7.73
2014-05-01,288404,242781.0,45623.0,18.79
2014-06-01,401843,288404.0,113439.0,39.33
2014-07-01,258718,401843.0,-143125.0,-35.62
2014-08-01,456633,258718.0,197915.0,76.5
2014-09-01,481186,456633.0,24553.0,5.38
2014-10-01,422785,481186.0,-58401.0,-12.14
2014-11-01,555312,422785.0,132527.0,31.35
2014-12-01,503154,555312.0,-52158.0,-9.39
